Water Body,Site ID,Date Sampled,Replicate Number,Richness,Richness Score,HBI,HBI Score,PMA,PMA Score,Diversity,Diversity Score,DOM3,DOM3 Score,Final BAP Score
Eighteenmile Creek,emil-2.2,8/4/2021,1,9,1.82,7.62,5.95,32,0.4,2.892,6.96,58.33,7.78,4.58
Eighteenmile Creek,emil-2.2,8/4/2021,2,13,4.17,6.83,7.92,37,1.4,3.064,7.66,60.98,7.34,5.7
Eighteenmile Creek,emil-2.2,8/4/2021,3,13,4.17,7,7.5,48,3.6,3.358,8.4,50,9.17,6.57
Eighteenmile Creek,emil-2.3,8/4/2021,1,7,0.91,7.95,5.12,50,4,1.971,2.35,80,4.17,3.31
Eighteenmile Creek,emil-2.3,8/4/2021,2,28,10,7.8,5.5,78,9.6,4.149,10,38.82,10,9.02
Eighteenmile Creek,emil-2.3,8/4/2021,3,13,4.17,8.15,4.62,77,9.4,3.187,7.97,54.72,8.38,6.91
Eighteenmile Creek,emil-2.5,8/4/2021,1,21,8.27,7.59,6.03,62,6.4,3.478,8.69,55,8.33,7.54
Eighteenmile Creek,emil-2.5,8/4/2021,2,27,10,7.43,6.43,64,6.8,4.11,10,40,10,8.65
Eighteenmile Creek,emil-2.5,8/4/2021,3,24,9.42,8.02,4.95,66,7.2,3.742,9.35,51,9,7.98
Oak Orchard Creek,oak-0.2,8/5/2021,1,12,3.61,9.15,2.12,40,2,2.611,5.55,74.12,5.15,3.69
Oak Orchard Creek,oak-0.2,8/5/2021,2,14,4.72,9.26,1.85,45,3,2.795,6.48,70,5.83,4.38
Oak Orchard Creek,oak-0.2,8/5/2021,3,13,4.17,9.4,1.5,42,2.4,2.531,5.16,77,4.67,3.58
Oak Orchard Creek,oak-1.8,8/5/2021,1,10,2.27,9.04,2.4,40,2,2.779,6.39,64.29,6.78,3.97
Oak Orchard Creek,oak-1.8,8/5/2021,2,14,4.72,8.96,2.6,40,2,3.021,7.55,59.57,7.57,4.89
Oak Orchard Creek,oak-1.8,8/5/2021,3,19,7.27,8.05,4.87,27,0,3.414,8.53,54.32,8.45,5.82
Oak Orchard Creek,oak-2.5,8/5/2021,1,16,5.91,7.85,5.38,43,2.6,3.337,8.34,54,8.5,6.15
Oak Orchard Creek,oak-2.5,8/5/2021,2,17,6.36,8.43,3.93,42,2.4,3.318,8.29,59,7.67,5.73
Oak Orchard Creek,oak-2.5,8/5/2021,3,18,6.82,7.66,5.85,38,1.6,3.295,8.24,56,8.17,6.14
Oak Orchard Creek,oak-3.3,8/4/2021,1,12,3.61,8.32,4.2,43,2.6,3.101,7.75,53.33,8.61,5.35
Oak Orchard Creek,oak-3.3,8/4/2021,2,9,1.82,8.37,4.08,42,2.4,2.703,6.01,65.38,6.6,4.18
Oak Orchard Creek,oak-3.3,8/4/2021,3,14,4.72,8.03,4.93,36,1.2,3.134,7.83,57.95,7.84,5.3
Oak Orchard Creek,oak-3.9,8/5/2021,1,11,3.06,8.89,2.77,38,1.6,2.47,4.85,70.45,5.76,3.61
Oak Orchard Creek,oak-3.9,8/5/2021,2,12,3.61,8.91,2.72,40,2,2.732,6.16,68.75,6.04,4.11
Oak Orchard Creek,oak-3.9,8/5/2021,3,13,4.17,8.68,3.3,36,1.2,2.521,5.11,70.59,5.73,3.9
Oak Orchard Creek,oak-5.9,8/5/2021,1,10,2.27,8.03,4.93,37,1.4,3.018,7.54,56.67,8.05,4.84
Oak Orchard Creek,oak-5.9,8/5/2021,2,15,5.45,8.52,3.7,46,3.2,3.327,8.32,55.1,8.32,5.8
Oak Orchard Creek,oak-5.9,8/5/2021,3,13,4.17,7.62,5.95,37,1.4,3.137,7.84,53.25,8.62,5.6
